"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","4","5","6","7","8","9","invalid","undetermined"
"UBE2I-AD-00036",58,10,5,15,104,100,79,32,23,41,216,6,11,111,11,45,567,4,249,12,5,68,37,11,23,0,33,13,0,0,33,6,24,23,15,11,0,156
"UBE2I-AD-00037",40,2,17,25,29,38,34,8,0,51,14,0,61,7,21,58,0,0,0,0,12,25,27,0,0,6,2,0,0,6,1,20,11,22,14,0,0,430
"UBE2I-AD-00038",95,54,248,33,39,41,4,0,20,1,18,333,14,7,38,39,0,12,0,0,29,54,6,45,3,0,5,7,0,0,187,302,219,43,44,110,1,170
"UBE2I-AD-00039",2164,1855,2688,2282,5893,7405,7796,1588,1694,1227,1706,1794,1467,986,2185,4333,3303,731,608,586,2589,2130,2409,2296,517,532,355,261,305,1636,2506,2880,2464,2328,1445,788,52,2431
"UBE2I-AD-00040",126,34,25,36,1,18,21,1,215,34,23,27,0,15,1,1,22,23,6,2,151,28,91,44,11,0,6,26,1,19,40,132,37,38,17,36,5,169
"UBE2I-AD-00041",63,26,70,19,2,29,26,63,1,104,3,47,25,2,15,2,15,47,4,7,113,16,57,22,4,0,1,0,9,0,42,97,74,85,1,16,2,358
"UBE2I-AD-00043",23,59,44,22,0,7,4,0,1,0,5,0,13,0,14,11,21,0,0,0,8,15,1,36,8,0,20,3,0,0,28,84,0,28,60,1,0,30
"UBE2I-AD-00045",2048,1512,2528,2006,759,673,817,1472,2234,926,535,1860,468,415,669,1039,617,243,272,172,2727,2294,2204,2244,642,465,532,233,279,266,3012,3074,2423,2446,1304,1114,36,1463
"UBE2I-AD-00046",875,408,734,880,223,189,203,650,369,227,136,627,100,105,266,367,315,82,47,38,605,524,774,724,128,122,123,61,54,127,758,776,780,783,458,329,12,728
"UBE2I-AD-00047",15,13,15,24,69,56,144,9,0,0,3,0,4,2,171,76,0,4,0,5,0,6,0,4,7,0,7,0,0,1,38,1,48,22,24,18,1,134
"UBE2I-AD-00048",2086,2062,2779,2935,419,1040,797,1594,2090,1244,501,1533,551,383,644,1278,846,263,198,187,2855,2265,2714,2216,505,402,528,263,275,284,2830,3102,2645,2640,1308,1096,33,1365
"UBE2I-AD-00053",4,0,14,70,1,39,28,0,0,1,30,32,2,1,16,9,41,0,0,1,11,34,39,29,6,0,0,1,10,3,13,102,12,29,6,9,3,378
"UBE2I-AD-00054",64,50,50,18,1,34,0,0,53,0,0,6,16,10,0,48,2,17,0,0,33,41,2,21,2,20,12,7,0,0,0,121,10,1,66,0,2,93
"UBE2I-AD-00055",936,425,606,612,175,114,288,643,618,220,172,690,197,101,382,191,451,98,79,72,630,578,697,585,192,112,132,78,870,74,896,1144,948,611,349,222,6,533
